"OTU_Label","Class","Family","Genus","Species","mean_rel_abund","abund_weight","total_estimate","total_SE","total_lower","total_upper","extreme","any_sig","site","season","substrate","display_label"
"Desmarestia_ASV_10940","Phaeophyceae","Phaeophyceae_XX","Desmarestia","Desmarestia_viridis",0.00292525304648449,0.0260117993726822,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Desmarestia_viridis"
"Phaeophyceae_XX_ASV_8507","Phaeophyceae","Phaeophyceae_XX",NA,NA,0.00250863460646396,0.0223071642164869,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Phaeophyceae_XX_ASV_8507"
"Bacillariaceae_ASV_10168","Bacillariophyceae","Bacillariaceae",NA,NA,0.00270556090161491,0.0240582630784565,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bacillariaceae_ASV_10168"
"Disporella_ASV_17008","Bryozoa","Bryozoa_XX","Disporella",NA,0.0016645260215797,0.0148012210348688,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Disporella sp. Disporella_ASV_17008"
"Spirotrichea_ASV_29934","Spirotrichea",NA,NA,NA,0.00315739724426686,0.0280760612338926,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Spirotrichea_ASV_29934"
"Pterocystidae_ASV_21676","Pterocystida","Pterocystidae",NA,NA,0.00327480370100379,0.0291200574794033,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pterocystidae_ASV_21676"
"Prolecithophora_ASV_18418","Platyhelminthes","Prolecithophora",NA,NA,0.00306645042154101,0.0272673481178869,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Prolecithophora_ASV_18418"
"Loxophyllum_ASV_32660","Litostomatea","Pleurostomatida","Loxophyllum","Loxophyllum_perihoplophorum",0.00283555519255786,0.0252141922790656,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Loxophyllum_perihoplophorum"
"OTU_ASV_8306",NA,NA,NA,NA,0.00291312161350915,0.0259039248074247,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_8306"
"Maxillopoda_ASV_13839","Arthropoda","Maxillopoda",NA,NA,0.00316166228077955,0.0281139865936212,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Maxillopoda_ASV_13839"
"Phaeophyceae_XX_ASV_8499","Phaeophyceae","Phaeophyceae_XX",NA,NA,0.00184068037343454,0.0163676125867311,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Phaeophyceae_XX_ASV_8499"
"Dino-Group-I-Clade-1_X_ASV_25271","Syndiniales","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00348889810434751,0.0310238177962359,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Dino-Group-I-Clade-1_X_sp."
"Pseudovorticella_ASV_29497","Oligohymenophorea","Sessilida","Pseudovorticella",NA,0.00215489413827154,0.01916164964308,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pseudovorticella sp. Pseudovorticella_ASV_29497"
"Rhabdochona_ASV_27104","Nematoda","Chromadorea_X","Rhabdochona","Rhabdochona_guerreroensis",0.00196686024170149,0.0174896233550562,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Rhabdochona_guerreroensis"
"OTU_ASV_7470",NA,NA,NA,NA,0.00251472334415135,0.0223613062071594,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_7470"
"Mediophyceae_ASV_9615","Mediophyceae",NA,NA,NA,0.00325704671722593,0.0289621596523934,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Mediophyceae_ASV_9615"
"Dino-Group-I-Clade-1_X_ASV_25263","Syndiniales","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00270911084007895,0.0240898296765062,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Dino-Group-I-Clade-1_X_sp."
"Dino-Group-I-Clade-1_X_ASV_21086","Syndiniales","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00273116514745217,0.0242859399649427,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Dino-Group-I-Clade-1_X_sp."
"Palmaria_ASV_24380","Florideophyceae","Colaconematales_X","Palmaria","Palmaria_palmata",0.00244980795997255,0.0217840686408269,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Palmaria_palmata"
"Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiophyceae","Pseudoscourfieldiaceae","Pseudoscourfieldiaceae_X","Pseudoscourfieldiaceae_X_sp.",0.00286185807493177,0.0254480815489377,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pseudoscourfieldiaceae_X_sp."
"Ampullofolliculina_ASV_3619","Heterotrichea","Folliculinidae","Ampullofolliculina","Ampullofolliculina_lageniformis",0.000991488175339134,0.00881646513565817,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ampullofolliculina_lageniformis"
"Loxosomella_ASV_16675","Entoprocta","Entoprocta_XX","Loxosomella","Loxosomella_sp.",0.00118692008507247,0.0105542756929749,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Loxosomella_sp."
"Naviculaceae_ASV_9674","Bacillariophyceae","Naviculaceae",NA,NA,0.0015854641536791,0.0140981907625539,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Naviculaceae_ASV_9674"
"Pterocystida_ASV_20844","Pterocystida",NA,NA,NA,0.00193737675871285,0.0172274516960163,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pterocystida_ASV_20844"
"Zoothamnium_2_ASV_2729","Oligohymenophorea","Zoothamniidae","Zoothamnium_2","Zoothamnium_alternans",0.000950773601960625,0.00845442489591246,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Zoothamnium_alternans"
"Pterocystidae_ASV_21686","Pterocystida","Pterocystidae",NA,NA,0.00175312091293321,0.0155890204158836,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pterocystidae_ASV_21686"
"Oerstedia_ASV_17136","Nemertea","Nemertea_XX","Oerstedia","Oerstedia_dorsalis",0.00168591160888921,0.0149913849617914,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Oerstedia_dorsalis"
"Maxillopoda_ASV_13792","Arthropoda","Maxillopoda",NA,NA,0.00149502333092751,0.0132939770760347,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Maxillopoda_ASV_13792"
"Annelida_XX_ASV_18258","Annelida","Annelida_XX",NA,NA,0.00112628840766457,0.0100151295051746,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Annelida_XX_ASV_18258"
"Lichomolgus_ASV_17960","Arthropoda","Maxillopoda","Lichomolgus","Lichomolgus_marginatus",0.00151664240622693,0.0134862172140246,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Lichomolgus_marginatus"
"Spirotrichea_ASV_29935","Spirotrichea",NA,NA,NA,0.00156129370223282,0.0138832633960058,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Spirotrichea_ASV_29935"
"Bougainvillia_ASV_16800","Cnidaria","Hydrozoa","Bougainvillia","Bougainvillia_sp.",0.00107305711006557,0.00954178863124338,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bougainvillia_sp."
"Navicula_ASV_10118","Bacillariophyceae","Naviculaceae","Navicula",NA,0.00144794452116373,0.0128753450688817,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Navicula sp. Navicula_ASV_10118"
"CCW10-lineage_X_ASV_13480","Filosa-Thecofilosea","CCW10-lineage","CCW10-lineage_X","CCW10-lineage_X_sp.",0.00186313323473397,0.0165672668778924,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","CCW10-lineage_X_sp."
"Bryocamptus_ASV_13856","Arthropoda","Maxillopoda","Bryocamptus","Bryocamptus_stillae",0.00130929922513387,0.0116424898023506,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bryocamptus_stillae"
"OTU_ASV_17235",NA,NA,NA,NA,0.00183034884284599,0.0162757430299401,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_17235"
"Argopecten_ASV_16928","Mollusca","Pectinoida","Argopecten",NA,0.00151349161221869,0.0134581998697796,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Argopecten sp. Argopecten_ASV_16928"
"Leathesia_ASV_8462","Phaeophyceae","Phaeophyceae_XX","Leathesia","Leathesia_difformis",0.00130867849009306,0.0116369701310303,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Leathesia_difformis"
"Reckertia_ASV_15655","Filosa-Imbricatea","Thaumatomonadidae","Reckertia","Reckertia_filosa",0.00127005069176052,0.0112934858154967,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Reckertia_filosa"
"Ascidiella_ASV_17116","Urochordata","Ascidiacea","Ascidiella","Ascidiella_sp.",0.000956014564024995,0.00850102833553695,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ascidiella_sp."
"Aplanochytrium_ASV_9331","Sagenista","Labyrinthulaceae","Aplanochytrium","Aplanochytrium_sp.",0.00168175089794053,0.0149543872810011,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Aplanochytrium_sp."
"Craticula_ASV_10145","Bacillariophyceae","Stauroneidaceae","Craticula","Craticula_importuna",0.00111236017149714,0.00989127748996579,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Craticula_importuna"
"Adineta_ASV_17598","Rotifera","Rotifera_XX","Adineta","Adineta_vaga",0.00315234730104443,0.0280311563631488,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Adineta_vaga"
"Pylaiella_ASV_8146","Phaeophyceae","Phaeophyceae_XX","Pylaiella","Pylaiella_littoralis",0.00101241988155794,0.00900259308221168,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pylaiella_littoralis"
"Spirotrichea_ASV_12539","Spirotrichea",NA,NA,NA,0.00145062647566651,0.0128991934202361,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Spirotrichea_ASV_12539"
"Halomonhystera_ASV_27076","Nematoda","Chromadorea_X","Halomonhystera","Halomonhystera_sp.",0.00128656887677773,0.0114403680536623,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Halomonhystera_sp."
"Endomyxa_ASV_22154","Endomyxa",NA,NA,NA,0.00149648003522171,0.0133069303143508,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Endomyxa_ASV_22154"
"Disporella_ASV_17010","Bryozoa","Bryozoa_XX","Disporella",NA,0.000713550956362178,0.00634500469673366,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Disporella sp. Disporella_ASV_17010"
"Pterocystidae_ASV_21684","Pterocystida","Pterocystidae",NA,NA,0.000929295349725014,0.0082634369782347,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Pterocystidae_ASV_21684"
"Polycera_ASV_19036","Mollusca","Nudibranchia","Polycera","Polycera_quadrilineata",0.00150715578892704,0.0134018607559648,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Polycera_quadrilineata"
"OTU_ASV_13187",NA,NA,NA,NA,0.00146979772392601,0.0130696671042305,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_13187"
"Licmophora_ASV_9996","Bacillariophyceae","Licmophoraceae","Licmophora",NA,0.00102531068529399,0.00911722008890352,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Licmophora sp. Licmophora_ASV_9996"
"Bryozoa_XX_ASV_17870","Bryozoa","Bryozoa_XX",NA,NA,0.00101335188469078,0.00901088059721326,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bryozoa_XX_ASV_17870"
"Amphora_ASV_11507","Bacillariophyceae","Catenulaceae","Amphora","Amphora_coffeaeformis",0.00106371273792365,0.00945869703897539,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Amphora_coffeaeformis"
"Licmophora_ASV_9913","Bacillariophyceae","Licmophoraceae","Licmophora","Licmophora_gracilis",0.000829480456959373,0.00737586762140729,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Licmophora_gracilis"
"Chlamydaster_ASV_21669","Pterocystida","Pterocystidae","Chlamydaster","Chlamydaster_sterni",0.00115795167744144,0.0102966841631241,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Chlamydaster_sterni"
"Embryophyceae_XX_ASV_21512","Embryophyceae","Embryophyceae_XX",NA,NA,0.00272893361534111,0.0242660968386749,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Embryophyceae_XX_ASV_21512"
"OTU_ASV_16598",NA,NA,NA,NA,0.000495221611222941,0.00440358662701965,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_16598"
"OTU_ASV_13628",NA,NA,NA,NA,0.00118168072320769,0.010507686482571,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","OTU_ASV_13628"
"Chromadorea_X_ASV_27082","Nematoda","Chromadorea_X",NA,NA,0.00105699342807416,0.00939894790378929,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Chromadorea_X_ASV_27082"
"Chromadorina_ASV_18461","Nematoda","Chromadorea_X","Chromadorina","Chromadorina_sp.",0.000967020925192471,0.00859889858948156,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Chromadorina_sp."
"Tisbe_ASV_13853","Arthropoda","Maxillopoda","Tisbe","Tisbe_sp.",0.00106871798795007,0.00950320449095588,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Tisbe_sp."
"Ampullofolliculina_ASV_3611","Heterotrichea","Folliculinidae","Ampullofolliculina","Ampullofolliculina_lageniformis",0.000527810449010298,0.00469337157787454,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ampullofolliculina_lageniformis"
"Cymbella_ASV_11535","Bacillariophyceae","Cymbellaceae","Cymbella","Cymbella_acuta",0.000903644603108959,0.00803534659968157,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Cymbella_acuta"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Syndiniales","Dino-Group-II-Clade-10-and-11","Dino-Group-II-Clade-10-and-11_X","Dino-Group-II-Clade-10-and-11_X_sp.",0.00124367909820695,0.0110589855552618,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Dino-Group-II-Clade-10-and-11_X_sp."
"Maxillopoda_ASV_13778","Arthropoda","Maxillopoda",NA,NA,0.00153904490264673,0.0136854236529408,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Maxillopoda_ASV_13778"
"CCW10-lineage_X_ASV_13478","Filosa-Thecofilosea","CCW10-lineage","CCW10-lineage_X","CCW10-lineage_X_sp.",0.00150818599501783,0.0134110215067512,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","CCW10-lineage_X_sp."
"Gastrotricha_XX_ASV_16593","Gastrotricha","Gastrotricha_XX",NA,NA,0.00133278356538997,0.0118513161628172,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Gastrotricha_XX_ASV_16593"
"Phaeophyceae_XX_ASV_8496","Phaeophyceae","Phaeophyceae_XX",NA,NA,0.000796259230286476,0.00708045937145494,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Phaeophyceae_XX_ASV_8496"
"Bacillariaceae_ASV_10164","Bacillariophyceae","Bacillariaceae",NA,NA,0.000737566940423028,0.00655855851556622,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bacillariaceae_ASV_10164"
"Ephelota_ASV_1020","Phyllopharyngea","Ephelotidae","Ephelota","Ephelota_sp.",0.00084556894185119,0.00751892890006123,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ephelota_sp."
"Dino-Group-I-Clade-1_X_ASV_21077","Syndiniales","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00120895851696772,0.010750244814223,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Dino-Group-I-Clade-1_X_sp."
"Ephelota_ASV_661","Phyllopharyngea","Ephelotidae","Ephelota",NA,0.00104156141663525,0.00926172408790495,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Ephelota sp. Ephelota_ASV_661"
"Halomonhystera_ASV_27080","Nematoda","Chromadorea_X","Halomonhystera","Halomonhystera_disjuncta",0.00119579484117117,0.0106331913872593,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Halomonhystera_disjuncta"
"Metromonas_ASV_18427","Filosa-Metromonadea","Metromonadidae","Metromonas","Metromonas_simplex",0.00114069117721399,0.0101432011440985,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Metromonas_simplex"
"Loxophyllum_ASV_6533","Litostomatea","Pleurostomatida","Loxophyllum","Loxophyllum_rostratum",0.000859891646669043,0.00764628859109509,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Loxophyllum_rostratum"
"MAST-3I_ASV_9358","Opalozoa","MAST-3","MAST-3I","MAST-3I_sp.",0.000846933561403804,0.00753106330671206,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","MAST-3I_sp."
"Bacillariophyceae_ASV_10160","Bacillariophyceae",NA,NA,NA,0.000795888416121179,0.00707716203494456,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Bacillariophyceae_ASV_10160"
"Dino-Group-I-Clade-4_X_ASV_21578","Syndiniales","Dino-Group-I-Clade-4","Dino-Group-I-Clade-4_X","Dino-Group-I-Clade-4_X_sp.",0.000895167484836144,0.00795996676201729,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Dino-Group-I-Clade-4_X_sp."
"Spirotrachelostyla_ASV_26308","Spirotrichea","Trachelostylidae","Spirotrachelostyla","Spirotrachelostyla_tani",0.000462999614675078,0.0041170636848087,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Spirotrachelostyla_tani"
"Grammatophora_ASV_10004","Bacillariophyceae","Grammatophoraceae","Grammatophora","Grammatophora_marina",0.000813017611067866,0.00722947746724682,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Grammatophora_marina"
"Cephaloidophora_ASV_1589","Gregarinomorphea","Cephaloidophoridae","Cephaloidophora","Cephaloidophora_communis",0.000631235019859831,0.00561303874662662,0,0,0,0,FALSE,FALSE,"SELVA","Winter","Glass","Cephaloidophora_communis"
