"OTU_j","OTU_k","res_cor","env_cor","Class_j","Division_j","Class_k","Division_k","same_class","same_division","quadrant","surprise","strong_res","concordant"
"Arcocellulus_ASV_11592","Dino-Group-I-Clade-1_X_ASV_20870",0.621,0,"Mediophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.621,TRUE,FALSE
"Navicula_ASV_10502","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.637,0.02,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.617,TRUE,TRUE
"Stypopodium_ASV_10934","Loxosomella_ASV_16675",0.675,-0.059,"Phaeophyceae","Stramenopiles","Entoprocta","Opisthokonta",FALSE,FALSE,"Q3",0.616,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_21086","Pleurosigma_ASV_10260",0.697,0.083,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.614,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_9683",0.636,0.027,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.609,TRUE,TRUE
"Naviculaceae_ASV_9847","Halomonhystera_ASV_27080",-0.627,-0.021,"Bacillariophyceae","Stramenopiles","Nematoda","Opisthokonta",FALSE,FALSE,"Q4",0.606,TRUE,TRUE
"Cymbella_ASV_11535","Dino-Group-I-Clade-1_X_ASV_20870",0.606,0.003,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.603,TRUE,TRUE
"OTU_ASV_13628","Bacillariophyceae_ASV_9918",0.604,-0.002,NA,"Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.602,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_11568",0.697,0.096,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.602,TRUE,TRUE
"Loxosomella_ASV_16675","Halomonhystera_ASV_27080",-0.65,0.049,"Entoprocta","Opisthokonta","Nematoda","Opisthokonta",FALSE,TRUE,"Q2",0.601,TRUE,FALSE
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","CCW10-lineage_X_ASV_13473",0.614,0.013,"Syndiniales","Alveolata","Filosa-Thecofilosea","Rhizaria",FALSE,FALSE,"Q1",0.601,TRUE,TRUE
"Reckertia_ASV_15655","Chaetoceros_ASV_11054",0.63,0.03,"Filosa-Imbricatea","Rhizaria","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.6,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_25271","Pleurosigma_ASV_10232",0.68,0.08,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.6,TRUE,TRUE
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Phaeophyceae_XX_ASV_8496",0.603,-0.005,"Syndiniales","Alveolata","Phaeophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.598,TRUE,FALSE
"Navicula_ASV_10078","Pomatoceros_ASV_18128",0.66,-0.062,"Bacillariophyceae","Stramenopiles","Annelida","Opisthokonta",FALSE,FALSE,"Q3",0.598,TRUE,FALSE
"Pseudoscourfieldiaceae_X_ASV_25684","Chaetoceros_ASV_11054",0.603,0.006,"Pseudoscourfieldiophyceae","Chlorophyta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.597,TRUE,TRUE
"OTU_ASV_13628","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.674,-0.078,NA,"Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.596,TRUE,FALSE
"Phaeophyceae_XX_ASV_8454","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.669,0.074,"Phaeophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.595,TRUE,TRUE
"Adineta_ASV_17598","Dino-Group-II-Clade-10-and-11_X_ASV_23376",-0.638,-0.043,"Rotifera","Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q4",0.594,TRUE,TRUE
"Craticula_ASV_10145","Dino-Group-I-Clade-1_X_ASV_20879",0.697,0.105,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.592,TRUE,TRUE
"Labyrinthulaceae_ANT10_3_ASV_9457","CCW10-lineage_X_ASV_13473",0.611,0.019,"Sagenista","Stramenopiles","Filosa-Thecofilosea","Rhizaria",FALSE,FALSE,"Q1",0.592,TRUE,TRUE
"Bacillariophyceae_ASV_9867","Dino-Group-I-Clade-1_X_ASV_21077",0.612,0.02,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.592,TRUE,TRUE
"Halomonhystera_ASV_27080","Chaetoceros_ASV_11054",-0.68,0.089,"Nematoda","Opisthokonta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q2",0.592,TRUE,FALSE
"Navicula_ASV_10098","Halomonhystera_ASV_27080",-0.646,0.057,"Bacillariophyceae","Stramenopiles","Nematoda","Opisthokonta",FALSE,FALSE,"Q2",0.589,TRUE,FALSE
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-I-Clade-1_X_ASV_20879",0.686,0.097,"Syndiniales","Alveolata","Syndiniales","Alveolata",TRUE,TRUE,"Q1",0.589,TRUE,TRUE
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Bacillariophyceae_ASV_32933",0.616,-0.028,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.588,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_25271","Nolandella_ASV_19262",0.63,-0.042,"Syndiniales","Alveolata","Elardia","Tubulinea",FALSE,FALSE,"Q3",0.588,TRUE,FALSE
"Loxosomella_ASV_16675","Dino-Group-I-Clade-1_X_ASV_20879",0.668,-0.083,"Entoprocta","Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.586,TRUE,FALSE
"Mediophyceae_ASV_10516","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.708,0.124,"Mediophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.584,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_25271","Loxosomella_ASV_16675",0.6,-0.017,"Syndiniales","Alveolata","Entoprocta","Opisthokonta",FALSE,FALSE,"Q3",0.583,TRUE,FALSE
"Pseudoscourfieldiaceae_X_ASV_25684","Euglyphida_XX_ASV_18003",0.613,-0.032,"Pseudoscourfieldiophyceae","Chlorophyta","Filosa-Imbricatea","Rhizaria",FALSE,FALSE,"Q3",0.581,TRUE,FALSE
"Bacillariaceae_ASV_10168","Pseudoscourfieldiaceae_X_ASV_25684",0.647,-0.068,"Bacillariophyceae","Stramenopiles","Pseudoscourfieldiophyceae","Chlorophyta",FALSE,FALSE,"Q3",0.579,TRUE,FALSE
"Navicula_ASV_10078","Lichomolgus_ASV_17960",-0.589,-0.01,"Bacillariophyceae","Stramenopiles","Arthropoda","Opisthokonta",FALSE,FALSE,"Q4",0.579,TRUE,TRUE
"Leathesia_ASV_8462","Halomonhystera_ASV_27080",-0.585,-0.006,"Phaeophyceae","Stramenopiles","Nematoda","Opisthokonta",FALSE,FALSE,"Q4",0.579,TRUE,TRUE
"Adineta_ASV_17598","Dino-Group-I-Clade-1_X_ASV_20879",-0.657,-0.079,"Rotifera","Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q4",0.578,TRUE,TRUE
"Mediophyceae_ASV_10516","Loxosomella_ASV_16675",0.728,0.15,"Mediophyceae","Stramenopiles","Entoprocta","Opisthokonta",FALSE,FALSE,"Q1",0.578,TRUE,TRUE
"Amphora_ASV_11507","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.583,-0.005,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.578,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_20879","Reckertia_ASV_16338",0.59,0.012,"Syndiniales","Alveolata","Filosa-Imbricatea","Rhizaria",FALSE,FALSE,"Q1",0.578,TRUE,TRUE
"Aplanochytrium_ASV_9331","Dino-Group-I-Clade-1_X_ASV_20879",0.611,0.035,"Sagenista","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.576,TRUE,TRUE
"Adineta_ASV_17598","Dino-Group-I-Clade-1_X_ASV_20870",-0.596,0.021,"Rotifera","Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q2",0.575,TRUE,FALSE
"Pterocystida_ASV_21672","Loxosomella_ASV_16675",0.605,-0.031,"Pterocystida","Centroplasthelida","Entoprocta","Opisthokonta",FALSE,FALSE,"Q3",0.575,TRUE,FALSE
"Lichomolgus_ASV_17960","Bacillariophyceae_ASV_9972",-0.592,-0.019,"Arthropoda","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q4",0.574,TRUE,TRUE
"Telonema-Group-1_ASV_18184","Lichomolgus_ASV_17960",-0.607,0.035,"Telonemia_XX","Telonemia","Arthropoda","Opisthokonta",FALSE,FALSE,"Q2",0.572,TRUE,FALSE
"Pomatoceros_ASV_18128","Nolandella_ASV_19262",0.578,0.006,"Annelida","Opisthokonta","Elardia","Tubulinea",FALSE,FALSE,"Q1",0.572,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_21086","Haslea_ASV_9240",0.634,-0.064,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.57,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_21077","Chaetoceros_ASV_11054",0.624,-0.055,"Syndiniales","Alveolata","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.569,TRUE,FALSE
"Chaetoceros_ASV_11054","Nolandella_ASV_19262",0.597,0.028,"Mediophyceae","Stramenopiles","Elardia","Tubulinea",FALSE,FALSE,"Q1",0.569,TRUE,TRUE
"Halomonhystera_ASV_27080","Labyrinthulaceae_ANT10_3_ASV_9457",-0.615,0.047,"Nematoda","Opisthokonta","Sagenista","Stramenopiles",FALSE,FALSE,"Q2",0.568,TRUE,FALSE
"Reckertia_ASV_15655","Adineta_ASV_17598",-0.569,-0.003,"Filosa-Imbricatea","Rhizaria","Rotifera","Opisthokonta",FALSE,FALSE,"Q4",0.567,TRUE,TRUE
"Pleurosigma_ASV_10232","Protaspa_ASV_15671",0.581,-0.015,"Bacillariophyceae","Stramenopiles","Filosa-Thecofilosea","Rhizaria",FALSE,FALSE,"Q3",0.566,TRUE,FALSE
"Bacillariophyceae_ASV_9918","Nolandella_ASV_19262",0.577,0.011,"Bacillariophyceae","Stramenopiles","Elardia","Tubulinea",FALSE,FALSE,"Q1",0.566,TRUE,TRUE
"Pseudoscourfieldiaceae_X_ASV_25684","Fragilariaceae_ASV_10037",0.631,0.066,"Pseudoscourfieldiophyceae","Chlorophyta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.566,TRUE,TRUE
"Reckertia_ASV_15655","Bacillariophyceae_ASV_9918",0.567,-0.002,"Filosa-Imbricatea","Rhizaria","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.566,TRUE,FALSE
"Bacillariaceae_ASV_10168","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.615,0.05,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.565,TRUE,TRUE
"Mediophyceae_ASV_10516","Pomatoceros_ASV_18128",0.635,-0.07,"Mediophyceae","Stramenopiles","Annelida","Opisthokonta",FALSE,FALSE,"Q3",0.564,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_21086","Protaspa_ASV_15671",0.614,0.051,"Syndiniales","Alveolata","Filosa-Thecofilosea","Rhizaria",FALSE,FALSE,"Q1",0.563,TRUE,TRUE
"Bacillariophyceae_ASV_9867","Dino-Group-I-Clade-1_X_ASV_21086",0.709,0.147,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.562,TRUE,TRUE
"Loxosomella_ASV_16675","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.714,-0.152,"Entoprocta","Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q3",0.562,TRUE,FALSE
"Lichomolgus_ASV_17960","Bacillariaceae_ASV_10197",-0.574,0.014,"Arthropoda","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q2",0.56,TRUE,FALSE
"Loxosomella_ASV_16675","Reckertia_ASV_15655",0.655,0.097,"Entoprocta","Opisthokonta","Filosa-Imbricatea","Rhizaria",FALSE,FALSE,"Q1",0.559,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_21086","Pleurosigma_ASV_10232",0.675,-0.116,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.558,TRUE,FALSE
"Bacillariophyceae_ASV_6651","Nolandella_ASV_19262",0.57,0.012,"Bacillariophyceae","Stramenopiles","Elardia","Tubulinea",FALSE,FALSE,"Q1",0.558,TRUE,TRUE
"Pseudoscourfieldiaceae_X_ASV_25684","Bacillariophyceae_ASV_9972",0.701,-0.143,"Pseudoscourfieldiophyceae","Chlorophyta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.558,TRUE,FALSE
"Telonema-Group-1_ASV_18184","Craticula_ASV_10145",0.595,0.037,"Telonemia_XX","Telonemia","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.557,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_25263","Pleurosigma_ASV_10232",0.58,-0.024,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.556,TRUE,FALSE
"Naviculaceae_ASV_9847","Dino-Group-I-Clade-1_X_ASV_21086",0.706,0.151,"Bacillariophyceae","Stramenopiles","Syndiniales","Alveolata",FALSE,FALSE,"Q1",0.555,TRUE,TRUE
"Euglyphida_XX_ASV_18003","Nolandella_ASV_19262",0.587,0.032,"Filosa-Imbricatea","Rhizaria","Elardia","Tubulinea",FALSE,FALSE,"Q1",0.555,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_9843",0.67,0.115,"Syndiniales","Alveolata","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.555,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_25271","OTU_ASV_15511",0.597,-0.043,"Syndiniales","Alveolata",NA,NA,FALSE,FALSE,"Q3",0.555,TRUE,FALSE
"Navicula_ASV_10502","Metromonas_ASV_18427",0.577,-0.023,"Bacillariophyceae","Stramenopiles","Filosa-Metromonadea","Rhizaria",FALSE,FALSE,"Q3",0.554,TRUE,FALSE
"Phaeophyceae_XX_ASV_8454","Pomatoceros_ASV_18128",0.605,-0.051,"Phaeophyceae","Stramenopiles","Annelida","Opisthokonta",FALSE,FALSE,"Q3",0.554,TRUE,FALSE
"Phaeocystis_ASV_20921","Chaetoceros_ASV_11054",0.554,-0.002,"Prymnesiophyceae","Haptophyta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.552,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_ASV_21077",0.565,-0.013,"Syndiniales","Alveolata","Syndiniales","Alveolata",TRUE,TRUE,"Q3",0.552,TRUE,FALSE
"Halomonhystera_ASV_27080","Fragilariaceae_ASV_10037",-0.623,0.071,"Nematoda","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q2",0.552,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_25271","Adineta_ASV_17598",-0.61,0.059,"Syndiniales","Alveolata","Rotifera","Opisthokonta",FALSE,FALSE,"Q2",0.551,TRUE,FALSE
"Arcocellulus_ASV_11592","Bacillariophyceae_ASV_9843",0.627,0.076,"Mediophyceae","Stramenopiles","Bacillariophyceae","Stramenopiles",FALSE,TRUE,"Q1",0.551,TRUE,TRUE
"Adineta_ASV_17599","Dino-Group-I-Clade-1_X_ASV_20879",-0.591,-0.04,"Rotifera","Opisthokonta","Syndiniales","Alveolata",FALSE,FALSE,"Q4",0.551,TRUE,TRUE
"Bacillariophyceae_ASV_11568","Nolandella_ASV_19262",0.614,-0.063,"Bacillariophyceae","Stramenopiles","Elardia","Tubulinea",FALSE,FALSE,"Q3",0.551,TRUE,FALSE
"Bacillariophyceae_ASV_9972","Pomatoceros_ASV_18128",0.607,-0.057,"Bacillariophyceae","Stramenopiles","Annelida","Opisthokonta",FALSE,FALSE,"Q3",0.55,TRUE,FALSE
"Dino-Group-I-Clade-1_X_ASV_21086","OTU_ASV_13628",0.717,0.167,"Syndiniales","Alveolata",NA,"Opisthokonta",FALSE,FALSE,"Q1",0.55,TRUE,TRUE
"Dino-Group-I-Clade-1_X_ASV_21086","Leathesia_ASV_8462",0.586,0.038,"Syndiniales","Alveolata","Phaeophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.547,TRUE,TRUE
"Pomatoceros_ASV_18128","Chaetoceros_ASV_11054",0.642,-0.094,"Annelida","Opisthokonta","Mediophyceae","Stramenopiles",FALSE,FALSE,"Q3",0.547,TRUE,FALSE
"Loxosomella_ASV_16675","Bacillariophyceae_ASV_9683",0.626,0.079,"Entoprocta","Opisthokonta","Bacillariophyceae","Stramenopiles",FALSE,FALSE,"Q1",0.547,TRUE,TRUE
