"OTU_Label","Term","Estimate","SE","z","p_raw","is_degenerate_SE","is_extreme_coef","is_separation","lower","upper","site","term_season","term_substrate","is_substrate_contrast","p_BH","sig_BH","reliable","Domain","Supergroup","Division","Subdivision","Class","Order","Family","Genus","Species","mean_rel_abund","abund_weight","display_label"
"Placuna_ASV_17776","seasonSpring",-6.98357164427176,2.05506906807765e-05,-339821.748706691,0,TRUE,FALSE,TRUE,-6.9836119236255,-6.98353136491803,"SELVA","Spring",NA,FALSE,NA,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Bivalvia","Pectinoida","Placuna","Placuna_placenta",0.0211661847962305,0.188212966077013,"Placuna_placenta"
"Pterocystida_ASV_21674","seasonSpring",6.87895944621859,70.2924160568333,0.0978620430496622,0.922041840522735,FALSE,FALSE,FALSE,-130.894176025175,144.652094917612,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista",NA,NA,NA,0.0291470755984906,0.259180272858613,"Pterocystida_ASV_21674"
"Maxillopoda_ASV_13929","seasonSpring",7.39134369044892,216.256905176673,0.0341785326318736,0.972734785015994,FALSE,FALSE,FALSE,-416.472190455831,431.254877836728,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.0116499219993925,0.103592895705134,"Maxillopoda_ASV_13929"
"Mediophyceae_ASV_10516","seasonSpring",-5.8463778925989,40.4739736458362,-0.144447835632772,0.88514684548011,FALSE,FALSE,FALSE,-85.1753662384379,73.4826104532401,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae",NA,NA,NA,NA,0.0213169025075548,0.189553171114519,"Mediophyceae_ASV_10516"
"Grammonema_ASV_10016","seasonSpring",7.39786119942529,1428.38205767087,0.00517918939102909,0.995867623221913,FALSE,FALSE,FALSE,-2792.23097183549,2807.02669423434,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Fragilariales","Fragilariaceae","Grammonema","Grammonema_striatula",0.0133326190424583,0.118555696253906,"Grammonema_striatula"
"OTU_ASV_33054","seasonSpring",8.54390171242994,67.4839447836029,0.126606435646689,0.899251903026019,FALSE,FALSE,FALSE,-123.724630063432,140.812433488292,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR",NA,NA,NA,NA,NA,NA,NA,0.00881307398992684,0.0783672074995638,"OTU_ASV_33054"
"Harpacticus_ASV_13902","seasonSpring",-0.503728250141463,111.119754740109,-0.00453320160145783,0.996383040819229,FALSE,FALSE,FALSE,-218.298447540755,217.290991040472,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda","Harpacticus","Harpacticus_sp.",0.0109416791116519,0.0972950911698389,"Harpacticus_sp."
"Bacillariophyceae_ASV_10175","seasonSpring",0.445386240503327,1.14999226035608,0.38729498959012,0.698537834404333,FALSE,FALSE,FALSE,-1.80859858979459,2.69937107080124,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae",NA,NA,NA,NA,0.0127478678926634,0.113355999219255,"Bacillariophyceae_ASV_10175"
"Ephelota_ASV_4004","seasonSpring",-8.00928551730339,8212.61673545851,-0.00097524160389986,0.999221869904542,FALSE,FALSE,FALSE,-16104.738087016,16088.7195159814,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota",NA,0.0144076964004095,0.128115449239633,"Ephelota sp. Ephelota_ASV_4004"
"Ephelota_ASV_4014","seasonSpring",5.93808090795718,246.286387049803,0.0241104714681466,0.980764490727756,FALSE,FALSE,FALSE,-476.783237709657,488.659399525571,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_mammillata",0.00801960351973601,0.0713115462111991,"Ephelota_mammillata"
"Obelia_ASV_16795","seasonSpring",-0.0110679262326132,0.996032681766311,-0.0111120111169303,0.991134080346592,FALSE,FALSE,FALSE,-1.96329198249458,1.94115613002936,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Cnidaria","Cnidaria_X","Hydrozoa","Obelia","Obelia_longissima",0.00902310734379116,0.0802348563406977,"Obelia_longissima"
"Maxillopoda_ASV_13865","seasonSpring",-0.634268290967827,0.981674025344223,-0.646108865664874,0.518208854179974,FALSE,FALSE,FALSE,-2.5583493806425,1.28981279870685,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.00845989483368111,0.0752266841981976,"Maxillopoda_ASV_13865"
"Ephelota_ASV_662","seasonSpring",6.50487321508448,220.835118478442,0.0294557915421387,0.976501076866689,FALSE,FALSE,FALSE,-426.331959002661,439.34170543283,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota",NA,0.00564256186461111,0.0501745267290982,"Ephelota sp. Ephelota_ASV_662"
"Caenogastropoda_ASV_13678","seasonSpring",-1.44953814123236,11504.0279002259,-0.000126002662180948,0.999899464421492,FALSE,FALSE,FALSE,-22549.3442225839,22546.4451463015,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Gastropoda","Caenogastropoda",NA,NA,0.00766976346525699,0.0682007147155878,"Caenogastropoda_ASV_13678"
"OTU_ASV_22251","seasonSpring",-6.1698859390962,1.58178148198181e-05,-390059.31030157,0,TRUE,FALSE,TRUE,-6.16991694201324,-6.16985493617915,"SELVA","Spring",NA,FALSE,NA,FALSE,FALSE,"Eukaryota",NA,NA,NA,NA,NA,NA,NA,NA,0.00948783170683053,0.0843672567528621,"OTU_ASV_22251"
"Suctoria_XX_ASV_12412","seasonSpring",-1.43293199472117,12470.0223980487,-0.000114910138007883,0.999908314975206,FALSE,FALSE,FALSE,-24442.6768321702,24439.8109681808,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Suctoria_X","Suctoria_XX","Suctoria_XX_sp.",0.00735987753851895,0.0654451614603183,"Suctoria_XX_sp."
"Telonema-Group-1_ASV_18184","seasonSpring",-4.40684157639848,191.154755023983,-0.023053789982078,0.981607366130762,FALSE,FALSE,FALSE,-379.070161423405,370.256478270608,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Telonemia","Telonemia_X","Telonemia_XX","Telonemia_XXX","Telonemia-Group-1","Telonema-Group-1","Telonema_subtile",0.0084712240926511,0.0753274257089953,"Telonema_subtile"
"Naviculaceae_ASV_9847","seasonSpring",1.01367875634021,1.92277001005196,0.527197091196998,0.598056728441228,FALSE,FALSE,FALSE,-2.75495046336162,4.78230797604205,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae",NA,NA,0.00554069921849448,0.0492687484349638,"Naviculaceae_ASV_9847"
"Heribaudiella_ASV_10928","seasonSpring",-0.279301281425088,1.11582888279194,-0.250308345421425,0.802348903141642,FALSE,FALSE,FALSE,-2.4663258916973,1.90772332884712,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Heribaudiella","Heribaudiella_fluviatilis",0.00678152252811873,0.0603023398795338,"Heribaudiella_fluviatilis"
"Ephelota_ASV_1009","seasonSpring",4.19285097166442,77.6993143678251,0.0539625221377843,0.956965023714245,FALSE,FALSE,FALSE,-148.097805189273,156.483507132602,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_sp.",0.00667651400298658,0.0593685879460245,"Ephelota_sp."
"Bacillariophyceae_ASV_6651","seasonSpring",13.702970919008,22210767.6859751,6.16951701658682e-07,0.999999507743762,FALSE,FALSE,FALSE,-43533090.9615403,43533118.3674821,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae",NA,NA,NA,NA,0.00501514365404532,0.0445954276369297,"Bacillariophyceae_ASV_6651"
"Ephelota_ASV_2990","seasonSpring",-7.41002474334245,0.567414337569914,-13.0592835829239,5.62546811465692e-39,FALSE,FALSE,FALSE,-8.52215684497948,-6.29789264170541,"SELVA","Spring",NA,FALSE,1.09391915379599e-36,TRUE,TRUE,"Eukaryota","TSAR","Alveolata","Ciliophora","Phyllopharyngea","Suctoria","Ephelotidae","Ephelota","Ephelota_truncata",0.00534820198225588,0.0475570334450924,"Ephelota_truncata"
"Pseudovorticella_ASV_29499","seasonSpring",6.60579110175686,92.6473804126936,0.0713003548760004,0.943158712799848,FALSE,FALSE,FALSE,-174.983074507123,188.194656710636,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Pseudovorticella","Pseudovorticella_sinensis",0.00436710216526945,0.0388329431874322,"Pseudovorticella_sinensis"
"Hiatella_ASV_13195","seasonSpring",0.816911575391654,86.7283414947835,0.00941919978304657,0.992484677046388,FALSE,FALSE,FALSE,-169.170637754384,170.804460905167,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Bivalvia","Heteroconchia","Hiatella","Hiatella_arctica",0.00404297266884858,0.0359507339229036,"Hiatella_arctica"
"Saccharina_ASV_10960","seasonSpring",1.39336653434971,1.13302936144039,1.2297708971799,0.218782909264407,FALSE,FALSE,FALSE,-0.827371014073447,3.61410408277287,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Saccharina","Saccharina_japonica",0.00450882815559207,0.0400931924607718,"Saccharina_japonica"
"Navicula_ASV_10502","seasonSpring",4.45578119169148,62.1984000149381,0.0716381963301522,0.94288984187563,FALSE,FALSE,FALSE,-117.453082837587,126.36464522097,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_cryptotenella",0.00336920486167902,0.0299594870989993,"Navicula_cryptotenella"
"Spirotrichea_ASV_33143","seasonSpring",6.28610252810636,31.4295760702036,0.200005959802488,0.841475920050131,FALSE,FALSE,FALSE,-55.3158665694926,67.8880716257053,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea",NA,NA,NA,NA,0.00681861766804703,0.0606321955611392,"Spirotrichea_ASV_33143"
"Mytilus_ASV_18471","seasonSpring",-4.98592169196901,37.5219764567544,-0.13288003892107,0.894288253529756,FALSE,FALSE,FALSE,-78.5289955472077,68.5571521632697,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Mollusca","Bivalvia","Mytiloida","Mytilus","Mytilus_trossulus",0.00296304175226016,0.0263478223483258,"Mytilus_trossulus"
"Bacillariophyceae_ASV_9867","seasonSpring",1.60615947519284,1.42381050772582,1.12807109266125,0.259289896233464,FALSE,FALSE,FALSE,-1.18450911994978,4.39682807033546,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae",NA,NA,NA,NA,0.00334743770392897,0.0297659301891148,"Bacillariophyceae_ASV_9867"
"Phaeophyceae_XX_ASV_8454","seasonSpring",7.21341193629639,646.24463452317,0.0111620453787114,0.991094161257337,FALSE,FALSE,FALSE,-1259.42607172912,1273.85289560171,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA,0.00373382110791964,0.0332017107611982,"Phaeophyceae_XX_ASV_8454"
"Scytosiphon_ASV_8447","seasonSpring",10.4521353930885,0.887968667517308,11.7708380660681,5.51736535472322e-32,FALSE,FALSE,FALSE,8.71171680475455,12.1925539814224,"SELVA","Spring",NA,FALSE,7.15265114180368e-30,TRUE,TRUE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Scytosiphon","Scytosiphon_lomentaria",0.00354770353878193,0.0315467247510273,"Scytosiphon_lomentaria"
"Stypopodium_ASV_10934","seasonSpring",5.93444676265087,222.326707174441,0.0266924601100425,0.978705026951798,FALSE,FALSE,FALSE,-429.825899299254,441.694792824556,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Stypopodium","Stypopodium_sp.",0.00680035423025665,0.0604697942672649,"Stypopodium_sp."
"Desmarestia_ASV_10940","seasonSpring",6.52698822157875,75.7798450078836,0.0861309259856592,0.931362339584754,FALSE,FALSE,FALSE,-142.001507993873,155.05548443703,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX","Desmarestia","Desmarestia_viridis",0.00292525304648449,0.0260117993726822,"Desmarestia_viridis"
"Phaeophyceae_XX_ASV_8507","seasonSpring",6.64665909236722,306.467005268266,0.0216880087517058,0.982696829154371,FALSE,FALSE,FALSE,-594.028671233435,607.321989418169,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA,0.00250863460646396,0.0223071642164869,"Phaeophyceae_XX_ASV_8507"
"Bacillariaceae_ASV_10168","seasonSpring",5.66240554231278,81.0787586731729,0.0698383354034543,0.944322334414168,FALSE,FALSE,FALSE,-153.251961457106,164.576772541732,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae",NA,NA,0.00270556090161491,0.0240582630784565,"Bacillariaceae_ASV_10168"
"Disporella_ASV_17008","seasonSpring",0.0898782747321666,293.163808401917,0.000306580390062837,0.999755384243956,FALSE,FALSE,FALSE,-574.511186193026,574.69094274249,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Bryozoa","Bryozoa_X","Bryozoa_XX","Disporella",NA,0.0016645260215797,0.0148012210348688,"Disporella sp. Disporella_ASV_17008"
"Spirotrichea_ASV_29934","seasonSpring",-0.0782521019445487,591.163461967125,-0.000132369652353278,0.999894384298377,FALSE,FALSE,FALSE,-1158.75863755751,1158.60213335362,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Spirotrichea","Hypotrichia",NA,NA,NA,0.00315739724426686,0.0280760612338926,"Spirotrichea_ASV_29934"
"Pterocystidae_ASV_21676","seasonSpring",5.37051414799208,38.3176049448684,0.14015787666581,0.8885352528639,FALSE,FALSE,FALSE,-69.7319915439499,80.4730198399341,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Haptista","Centroplasthelida","Centroplasthelida_X","Pterocystida","Pterista","Pterocystidae",NA,NA,0.00327480370100379,0.0291200574794033,"Pterocystidae_ASV_21676"
"Prolecithophora_ASV_18418","seasonSpring",-7.03735399080175,9.62517526341623e-06,-731140.347911338,0,TRUE,FALSE,TRUE,-7.03737285614527,-7.03733512545823,"SELVA","Spring",NA,FALSE,NA,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Platyhelminthes","Turbellaria","Prolecithophora",NA,NA,0.00306645042154101,0.0272673481178869,"Prolecithophora_ASV_18418"
"Loxophyllum_ASV_32660","seasonSpring",-0.128493433536282,1.16268857815795,-0.110514058493508,0.912001701097026,FALSE,FALSE,FALSE,-2.40736304672587,2.15037617965331,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Litostomatea","Haptoria_5","Pleurostomatida","Loxophyllum","Loxophyllum_perihoplophorum",0.00283555519255786,0.0252141922790656,"Loxophyllum_perihoplophorum"
"OTU_ASV_8306","seasonSpring",1.46615402755291,1.0452568892045,1.40267339320647,0.160714254921874,FALSE,FALSE,FALSE,-0.582549475287907,3.51485753039372,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles",NA,NA,NA,NA,NA,NA,0.00291312161350915,0.0259039248074247,"OTU_ASV_8306"
"Maxillopoda_ASV_13839","seasonSpring",-3.4257511206395,18691096.1794505,-1.83282515254823e-07,0.999999853761711,FALSE,FALSE,FALSE,-36634551.937474,36634545.0859718,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Arthropoda","Crustacea","Maxillopoda",NA,NA,0.00316166228077955,0.0281139865936212,"Maxillopoda_ASV_13839"
"Phaeophyceae_XX_ASV_8499","seasonSpring",6.31832507004053,367.54941248241,0.0171904099298292,0.986284712827638,FALSE,FALSE,FALSE,-714.078523395483,726.715173535564,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Phaeophyceae","Phaeophyceae_X","Phaeophyceae_XX",NA,NA,0.00184068037343454,0.0163676125867311,"Phaeophyceae_XX_ASV_8499"
"Dino-Group-I-Clade-1_X_ASV_25271","seasonSpring",-7.34519077498636,2352337.66497032,-3.1225069786395e-06,0.999997508599891,FALSE,FALSE,FALSE,-4610589.1685326,4610574.47815105,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00348889810434751,0.0310238177962359,"Dino-Group-I-Clade-1_X_sp."
"Pseudovorticella_ASV_29497","seasonSpring",13.7620437822752,2330.33795387916,0.00590559998362746,0.99528804033994,FALSE,FALSE,FALSE,-4553.70034582089,4581.22443338544,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Ciliophora","Oligohymenophorea","Peritrichia_2","Sessilida","Pseudovorticella",NA,0.00215489413827154,0.01916164964308,"Pseudovorticella sp. Pseudovorticella_ASV_29497"
"Rhabdochona_ASV_27104","seasonSpring",0.10590323881266,343.340388796159,0.000308449696768809,0.999753892753066,FALSE,FALSE,FALSE,-672.841258801658,673.053065279283,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa","Nematoda","Chromadorea","Chromadorea_X","Rhabdochona","Rhabdochona_guerreroensis",0.00196686024170149,0.0174896233550562,"Rhabdochona_guerreroensis"
"OTU_ASV_7470","seasonSpring",-1.50561685072539,478440.982689635,-3.14692282893767e-06,0.999997489118861,FALSE,FALSE,FALSE,-937745.831688535,937742.820454833,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Obazoa","Opisthokonta","Metazoa",NA,NA,NA,NA,NA,0.00251472334415135,0.0223613062071594,"OTU_ASV_7470"
"Mediophyceae_ASV_9615","seasonSpring",-2.20796906342866,201718.354476952,-1.09458014822392e-05,0.999991266513992,FALSE,FALSE,FALSE,-395370.18274389,395365.766805763,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales",NA,NA,NA,0.00325704671722593,0.0289621596523934,"Mediophyceae_ASV_9615"
"Dino-Group-I-Clade-1_X_ASV_25263","seasonSpring",-2.5553897608896,36888.0716009181,-6.92741487962738e-05,0.999944727226257,FALSE,FALSE,FALSE,-72303.1757275604,72298.0649480386,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00270911084007895,0.0240898296765062,"Dino-Group-I-Clade-1_X_sp."
"Dino-Group-I-Clade-1_X_ASV_21086","seasonSpring",1.35375123481483,1.89328968681216,0.715025938314922,0.47459301574614,FALSE,FALSE,FALSE,-2.35709655133701,5.06459902096667,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","TSAR","Alveolata","Dinoflagellata","Syndiniales","Dino-Group-I","Dino-Group-I-Clade-1","Dino-Group-I-Clade-1_X","Dino-Group-I-Clade-1_X_sp.",0.00273116514745217,0.0242859399649427,"Dino-Group-I-Clade-1_X_sp."
"Palmaria_ASV_24380","seasonSpring",5.7248372967459,263.018213001733,0.0217659348811262,0.982634667772562,FALSE,FALSE,FALSE,-509.79086018665,521.240534780142,"SELVA","Spring",NA,FALSE,0.999999999999946,FALSE,FALSE,"Eukaryota","Archaeplastida","Rhodophyta","Eurhodophytina","Florideophyceae","Colaconematales","Colaconematales_X","Palmaria","Palmaria_palmata",0.00244980795997255,0.0217840686408269,"Palmaria_palmata"
