"site","season","OTU_Label","display_label","Class","abund_weight","PE","wPE","PET","wPET","pattern"
"SELVA","Summer","OTU_ASV_22251","OTU_ASV_22251",NA,0.0843672567528621,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Summer","OTU_ASV_33054","OTU_ASV_33054",NA,0.0783672074995638,"lower_occurrence","ns","ns","ns","lower_occurrence/ns/ns/ns"
"SELVA","Summer","OTU_ASV_33058","OTU_ASV_33058",NA,0.00318599772599433,"ns","ns","higher_occurrence","ns","ns/ns/higher_occurrence/ns"
"SELVA","Fall","Annelida_XX_ASV_18258","Annelida_XX_ASV_18258","Annelida",0.0100151295051746,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Fall","Maxillopoda_ASV_13878","Maxillopoda_ASV_13878","Arthropoda",0.00139376384682463,"ns","lower_occurrence","ns","ns","ns/lower_occurrence/ns/ns"
"SELVA","Fall","Bacillariaceae_ASV_10164","Bacillariaceae_ASV_10164","Bacillariophyceae",0.00655855851556622,"ns","ns","higher_occurrence","ns","ns/ns/higher_occurrence/ns"
"SELVA","Fall","Bacillariophyceae_ASV_6651","Bacillariophyceae_ASV_6651","Bacillariophyceae",0.0445954276369297,"ns","higher_occurrence","lower_occurrence","ns","ns/higher_occurrence/lower_occurrence/ns"
"SELVA","Fall","Cymbella_ASV_11535","Cymbella_acuta","Bacillariophyceae",0.00803534659968157,"ns","higher_occurrence","lower_occurrence","ns","ns/higher_occurrence/lower_occurrence/ns"
"SELVA","Fall","Ampullofolliculina_ASV_3619","Ampullofolliculina_lageniformis","Heterotrichea",0.00881646513565817,"ns","lower_occurrence","ns","lower_occurrence","ns/lower_occurrence/ns/lower_occurrence"
"SELVA","Fall","Protolitonotus_ASV_6509","Protolitonotus_clampi","Litostomatea",0.00355528497084227,"ns","ns","ns","lower_occurrence","ns/ns/ns/lower_occurrence"
"SELVA","Fall","Placuna_ASV_17776","Placuna_placenta","Mollusca",0.188212966077013,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Fall","Zoothamnium_1_ASV_32734","Zoothamnium_1 sp. Zoothamnium_1_ASV_32734","Oligohymenophorea",0.00334220697543091,"higher_occurrence","ns","ns","ns","higher_occurrence/ns/ns/ns"
"SELVA","Fall","Phaeophyceae_XX_ASV_8499","Phaeophyceae_XX_ASV_8499","Phaeophyceae",0.0163676125867311,"ns","higher_occurrence","ns","ns","ns/higher_occurrence/ns/ns"
"SELVA","Fall","Ephelota_ASV_4846","Ephelota_sp.","Phyllopharyngea",0.00801828383670939,"ns","lower_occurrence","ns","lower_occurrence","ns/lower_occurrence/ns/lower_occurrence"
"SELVA","Fall","Prolecithophora_ASV_18418","Prolecithophora_ASV_18418","Platyhelminthes",0.0272673481178869,"ns","lower_occurrence","lower_occurrence","lower_occurrence","ns/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Fall","Spirotrichea_ASV_29935","Spirotrichea_ASV_29935","Spirotrichea",0.0138832633960058,"ns","ns","ns","higher_occurrence","ns/ns/ns/higher_occurrence"
"SELVA","Fall","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"ns","ns","higher_occurrence","ns","ns/ns/higher_occurrence/ns"
"SELVA","Fall","OTU_ASV_22251","OTU_ASV_22251",NA,0.0843672567528621,"ns","higher_occurrence","higher_occurrence","higher_occurrence","ns/higher_occurrence/higher_occurrence/higher_occurrence"
"SELVA","Fall","OTU_ASV_5396","OTU_ASV_5396",NA,0.00308214177635498,"ns","lower_occurrence","ns","ns","ns/lower_occurrence/ns/ns"
"SELVA","Winter2","Mytilus_ASV_18471","Mytilus_trossulus","Mollusca",0.0263478223483258,"higher_occurrence","ns","higher_occurrence","ns","higher_occurrence/ns/higher_occurrence/ns"
"SELVA","Winter2","Placuna_ASV_17776","Placuna_placenta","Mollusca",0.188212966077013,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Winter2","Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae",0.0116369701310303,"higher_occurrence","ns","higher_occurrence","higher_occurrence","higher_occurrence/ns/higher_occurrence/higher_occurrence"
"SELVA","Winter2","Suctoria_XX_ASV_12412","Suctoria_XX_sp.","Phyllopharyngea",0.0654451614603183,"ns","ns","higher_occurrence","ns","ns/ns/higher_occurrence/ns"
"SELVA","Winter2","Prolecithophora_ASV_18418","Prolecithophora_ASV_18418","Platyhelminthes",0.0272673481178869,"ns","ns","lower_occurrence","ns","ns/ns/lower_occurrence/ns"
"SELVA","Winter2","OTU_ASV_16598","OTU_ASV_16598",NA,0.00440358662701965,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"SELVA","Winter2","OTU_ASV_22251","OTU_ASV_22251",NA,0.0843672567528621,"lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence","lower_occurrence/lower_occurrence/lower_occurrence/lower_occurrence"
"TBS","Fall","Tisbe_ASV_13853","Tisbe_sp.","Arthropoda",0.00950320449095588,"lower_occurrence","ns","lower_occurrence","ns","lower_occurrence/ns/lower_occurrence/ns"
"TBS","Fall","Fragilariaceae_ASV_10037","Fragilariaceae_ASV_10037","Bacillariophyceae",0.00510758859603341,"lower_occurrence","ns","ns","ns","lower_occurrence/ns/ns/ns"
"TBS","Fall","Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta",0.0105542756929749,"lower_occurrence","ns","lower_occurrence","ns","lower_occurrence/ns/lower_occurrence/ns"
"TBS","Fall","OTU_ASV_13628","OTU_ASV_13628",NA,0.010507686482571,"lower_occurrence","ns","ns","ns","lower_occurrence/ns/ns/ns"
"TBS","Winter2","Tisbe_ASV_13853","Tisbe_sp.","Arthropoda",0.00950320449095588,"lower_occurrence","ns","ns","ns","lower_occurrence/ns/ns/ns"
"TBS","Winter2","Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta",0.0105542756929749,"lower_occurrence","ns","ns","ns","lower_occurrence/ns/ns/ns"
