"OTU_Label","lowest_tax","Class","Cluster","node_degree","node_strength","node_betweenness","pos_degree","neg_degree","signed_dominance"
"Pleurosigma_ASV_10260","Pleurosigma_intermedium (species)","Bacillariophyceae","C2",69,41.0712,0,66,3,0.91304347826087
"Bacillariophyceae_ASV_9977","Bacillariophyceae (class)","Bacillariophyceae","C1",20,10.5745,0,20,0,1
"Phaeocystis_ASV_20921","Phaeocystis_globosa (species)","Prymnesiophyceae","C1",22,11.589,0,22,0,1
"Bacillariophyceae_ASV_11568","Bacillariophyceae (class)","Bacillariophyceae","C1",66,39.0993,0,64,2,0.939393939393939
"Labyrinthulaceae_ANT10_3_ASV_9457","Labyrinthulaceae_ANT10_3_sp. (species)","Sagenista","C1",67,39.8788,0,65,2,0.940298507462687
"Pomatoceros_ASV_18128","Pomatoceros_triqueter (species)","Annelida","C1",58,33.1337,0,56,2,0.931034482758621
"CCW10-lineage_X_ASV_13473","CCW10-lineage_X_sp. (species)","Filosa-Thecofilosea","C1",56,31.8444,0,54,2,0.928571428571429
"Dino-Group-I-Clade-1_X_ASV_20870","Dino-Group-I-Clade-1_X_sp. (species)","Syndiniales","C1",65,37.8351,0,62,3,0.907692307692308
"Spirotrachelostyla_ASV_29955","Spirotrachelostyla_tani (species)","Spirotrichea","C1",57,32.4456,0,55,2,0.929824561403509
"Bacillariophyceae_ASV_10151","Naviculales (order)","Bacillariophyceae","C1",40,21.8174,0,38,2,0.9
"Haplogloia_ASV_8474","Haplogloia_andersonii (species)","Phaeophyceae","C1",65,37.9639,0,63,2,0.938461538461538
"Phaeophyceae_XX_ASV_10925","Phaeophyceae_XX (family)","Phaeophyceae","C1",8,4.1867,0,8,0,1
"Bacillariaceae_ASV_10197","Bacillariaceae (family)","Bacillariophyceae","C2",32,17.4088,0,29,3,0.8125
"OTU_ASV_16900","Unclassified",NA,"C1",5,2.6012,0,5,0,1
"Enoplea_X_ASV_18404","Enoplea_X (family)","Nematoda","C5",1,0.509,0,1,0,1
"Bacillariophyceae_ASV_9683","Bacillariophyceae (class)","Bacillariophyceae","C1",51,28.3443,0,49,2,0.92156862745098
"Bacillariophyceae_ASV_10229","Bacillariophyceae (class)","Bacillariophyceae","C1",15,7.8531,0,15,0,1
"Navicula_ASV_9836","Navicula (genus)","Bacillariophyceae","C1",20,10.4659,0,20,0,1
"Protaspa_ASV_15671","Protaspa_sp. (species)","Filosa-Thecofilosea","C2",42,22.958,0,40,2,0.904761904761905
"Bacillariophyceae_ASV_9843","Bacillariophyceae (class)","Bacillariophyceae","C1",61,35.2956,0,59,2,0.934426229508197
"OTU_ASV_9154","Unclassified",NA,"C2",8,4.2431,0,7,1,0.75
"Euglyphida_XX_ASV_18003","Euglyphida_XX_sp. (species)","Filosa-Imbricatea","C1",60,34.1599,0,58,2,0.933333333333333
"Reckertia_ASV_16338","Reckertia_filosa (species)","Filosa-Imbricatea","C2",20,10.699,0,19,1,0.9
"Pelagomonadales_clade_A3_ASV_10742","Pelagomonadales_clade_A3_sp. (species)","Pelagophyceae","C2",2,1.0021,0,2,0,1
"Nolandella_ASV_19262","Nolandella_sp. (species)","Elardia","C1",72,41.6982,0,68,4,0.888888888888889
"Filosa-Thecofilosea_ASV_15525","Cryomonadida (order)","Filosa-Thecofilosea","C1",2,1.0033,0,2,0,1
