"OTU_j","OTU_k","res_cor","env_cor","surprise","quadrant","same_class","Class_j","Class_k","association","abs_r","Class_from","Class_to","synd_otu","diatom_otu","diatom_class","pollock_signal"
"Bacillariophyceae_ASV_10175","Dino-Group-I-Clade-1_X_ASV_25263",0.529949031745871,-0.272805547668411,0.25714348407746,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.529949031745871,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25263","Bacillariophyceae_ASV_10175","Bacillariophyceae","Q3"
"Bacillariophyceae_ASV_9867","Dino-Group-I-Clade-1_X_ASV_25263",0.501414892988441,-0.0521029841912011,0.44931190879724,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.501414892988441,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25263","Bacillariophyceae_ASV_9867","Bacillariophyceae","Q3"
"Bacillariaceae_ASV_10168","Dino-Group-I-Clade-1_X_ASV_25263",0.535955881874777,-0.160973040823001,0.374982841051776,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.535955881874777,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_25263","Bacillariaceae_ASV_10168","Bacillariophyceae","Q3"
"Navicula_ASV_10078","Dino-Group-I-Clade-1_X_ASV_21086",0.78121725862439,0.099236075917651,0.681981182706739,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.78121725862439,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Navicula_ASV_10078","Bacillariophyceae","Q1"
"Navicula_ASV_10098","Dino-Group-I-Clade-1_X_ASV_21086",0.643612420588395,0.212578294663336,0.431034125925058,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.643612420588395,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Navicula_ASV_10098","Bacillariophyceae","Q1"
"Mediophyceae_ASV_10516","Dino-Group-I-Clade-1_X_ASV_21086",0.754026006882348,0.214210702728506,0.539815304153842,"Q1",FALSE,"Mediophyceae","Syndiniales","positive",0.754026006882348,"Mediophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Mediophyceae_ASV_10516","Mediophyceae","Q1"
"Grammonema_ASV_10016","Dino-Group-I-Clade-1_X_ASV_21086",0.528852613719019,0.224364179873602,0.304488433845417,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.528852613719019,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Grammonema_ASV_10016","Bacillariophyceae","Q1"
"Bacillariophyceae_ASV_10175","Dino-Group-I-Clade-1_X_ASV_21086",0.641613245425013,0.309578526369665,0.332034719055348,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.641613245425013,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_10175","Bacillariophyceae","Q1"
"Naviculaceae_ASV_9847","Dino-Group-I-Clade-1_X_ASV_21086",0.706091420268815,0.150916195529357,0.555175224739458,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.706091420268815,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Naviculaceae_ASV_9847","Bacillariophyceae","Q1"
"Bacillariophyceae_ASV_6651","Dino-Group-I-Clade-1_X_ASV_21086",0.62641413358402,0.155597310608844,0.470816822975176,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.62641413358402,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_6651","Bacillariophyceae","Q1"
"Navicula_ASV_10502","Dino-Group-I-Clade-1_X_ASV_21086",0.677195259449824,0.369563118923231,0.307632140526593,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.677195259449824,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Navicula_ASV_10502","Bacillariophyceae","Q1"
"Bacillariophyceae_ASV_9867","Dino-Group-I-Clade-1_X_ASV_21086",0.708941561433048,0.146679113455999,0.562262447977049,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.708941561433048,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_9867","Bacillariophyceae","Q1"
"Bacillariaceae_ASV_10168","Dino-Group-I-Clade-1_X_ASV_21086",0.658095303498027,0.232750060755516,0.425345242742511,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.658095303498027,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Bacillariaceae_ASV_10168","Bacillariophyceae","Q1"
"Mediophyceae_ASV_9615","Dino-Group-I-Clade-1_X_ASV_21086",0.603162070403262,0.150536492357731,0.45262557804553,"Q1",FALSE,"Mediophyceae","Syndiniales","positive",0.603162070403262,"Mediophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21086","Mediophyceae_ASV_9615","Mediophyceae","Q1"
"Dino-Group-I-Clade-1_X_ASV_25271","Naviculaceae_ASV_9674",0.508134869340622,-0.229531762168528,0.278603107172094,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.508134869340622,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Naviculaceae_ASV_9674","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Naviculaceae_ASV_9674",0.597132816538472,0.154649480673225,0.442483335865247,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.597132816538472,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Naviculaceae_ASV_9674","Bacillariophyceae","Q1"
"Dino-Group-I-Clade-1_X_ASV_21086","Navicula_ASV_10118",0.551787247998244,0.275812213499596,0.275975034498648,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.551787247998244,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Navicula_ASV_10118","Bacillariophyceae","Q1"
"Dino-Group-I-Clade-1_X_ASV_25271","Craticula_ASV_10145",0.661712397719623,0.017104676188034,0.644607721531589,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.661712397719623,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Craticula_ASV_10145","Bacillariophyceae","Q1"
"Dino-Group-I-Clade-1_X_ASV_25263","Craticula_ASV_10145",0.563617757516688,-0.0506938457576277,0.51292391175906,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.563617757516688,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25263","Craticula_ASV_10145","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Craticula_ASV_10145",0.676693004664265,-0.203833279735353,0.472859724928912,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.676693004664265,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Craticula_ASV_10145","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Amphora_ASV_11507",0.614840657216554,0.104225702950221,0.510614954266333,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.614840657216554,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Amphora_ASV_11507","Bacillariophyceae","Q1"
"Dino-Group-I-Clade-1_X_ASV_25271","Cymbella_ASV_11535",0.617593124747683,-0.159096357177683,0.45849676757,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.617593124747683,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Cymbella_ASV_11535","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_25263","Cymbella_ASV_11535",0.522965789646272,-0.00549249284858214,0.51747329679769,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.522965789646272,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25263","Cymbella_ASV_11535","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Cymbella_ASV_11535",0.69003497185218,0.0493035543229749,0.640731417529205,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.69003497185218,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Cymbella_ASV_11535","Bacillariophyceae","Q1"
"Navicula_ASV_10078","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.734286420825506,-0.0748216164615503,0.659464804363955,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.734286420825506,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Navicula_ASV_10078","Bacillariophyceae","Q3"
"Navicula_ASV_10098","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.612520014638456,-0.107566935854911,0.504953078783545,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.612520014638456,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Navicula_ASV_10098","Bacillariophyceae","Q3"
"Mediophyceae_ASV_10516","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.708414978462549,0.124309940970108,0.584105037492441,"Q1",FALSE,"Mediophyceae","Syndiniales","positive",0.708414978462549,"Mediophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Mediophyceae_ASV_10516","Mediophyceae","Q1"
"Grammonema_ASV_10016","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.507580256622259,-0.0682794630590787,0.43930079356318,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.507580256622259,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Grammonema_ASV_10016","Bacillariophyceae","Q3"
"Bacillariophyceae_ASV_10175","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.599365809881304,0.110113223694668,0.489252586186636,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.599365809881304,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Bacillariophyceae_ASV_10175","Bacillariophyceae","Q1"
"Naviculaceae_ASV_9847","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.667552084883653,-0.0232091210292063,0.644342963854447,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.667552084883653,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Naviculaceae_ASV_9847","Bacillariophyceae","Q3"
"Bacillariophyceae_ASV_6651","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.586636207544295,-0.213592739360435,0.37304346818386,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.586636207544295,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Bacillariophyceae_ASV_6651","Bacillariophyceae","Q3"
"Navicula_ASV_10502","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.637042510719178,0.0199014185224088,0.617141092196769,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.637042510719178,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Navicula_ASV_10502","Bacillariophyceae","Q1"
"Bacillariophyceae_ASV_9867","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.667395430626363,0.034535590832806,0.632859839793557,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.667395430626363,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Bacillariophyceae_ASV_9867","Bacillariophyceae","Q1"
"Bacillariaceae_ASV_10168","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.615226764245139,0.0498299872691642,0.565396776975974,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.615226764245139,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Bacillariaceae_ASV_10168","Bacillariophyceae","Q1"
"Mediophyceae_ASV_9615","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.565877985484003,0.485064777745345,0.0808132077386582,"Q1",FALSE,"Mediophyceae","Syndiniales","positive",0.565877985484003,"Mediophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Mediophyceae_ASV_9615","Mediophyceae","Q1"
"Naviculaceae_ASV_9674","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.561748619235513,0.0584302830767012,0.503318336158811,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.561748619235513,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Naviculaceae_ASV_9674","Bacillariophyceae","Q1"
"Navicula_ASV_10118","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.527311975423075,0.0460191226886648,0.48129285273441,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.527311975423075,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Navicula_ASV_10118","Bacillariophyceae","Q1"
"Craticula_ASV_10145","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.631849280640379,-0.139777754528891,0.492071526111488,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.631849280640379,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Craticula_ASV_10145","Bacillariophyceae","Q3"
"Amphora_ASV_11507","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.5834938549874,-0.00548268292712867,0.578011172060272,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.5834938549874,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Amphora_ASV_11507","Bacillariophyceae","Q3"
"Cymbella_ASV_11535","Dino-Group-II-Clade-10-and-11_X_ASV_23376",0.647465797207082,-0.183374144059041,0.46409165314804,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.647465797207082,"Bacillariophyceae","Syndiniales","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Cymbella_ASV_11535","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_25271","Bacillariaceae_ASV_10164",0.549670452026655,-0.610858089657844,-0.0611876376311891,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.549670452026655,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Bacillariaceae_ASV_10164","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Bacillariaceae_ASV_10164",0.511276863284516,0.25490295646295,0.256373906821566,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.511276863284516,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Bacillariaceae_ASV_10164","Bacillariophyceae","Q1"
"Navicula_ASV_10078","Dino-Group-I-Clade-1_X_ASV_21077",0.671438649377866,0.245031002624818,0.426407646753048,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.671438649377866,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Navicula_ASV_10078","Bacillariophyceae","Q1"
"Navicula_ASV_10098","Dino-Group-I-Clade-1_X_ASV_21077",0.574369136235549,0.159878098975127,0.414491037260422,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.574369136235549,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Navicula_ASV_10098","Bacillariophyceae","Q1"
"Mediophyceae_ASV_10516","Dino-Group-I-Clade-1_X_ASV_21077",0.647190196791336,0.440032289166494,0.207157907624842,"Q1",FALSE,"Mediophyceae","Syndiniales","positive",0.647190196791336,"Mediophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Mediophyceae_ASV_10516","Mediophyceae","Q1"
"Bacillariophyceae_ASV_10175","Dino-Group-I-Clade-1_X_ASV_21077",0.541084612802603,0.415713563768676,0.125371049033928,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.541084612802603,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Bacillariophyceae_ASV_10175","Bacillariophyceae","Q1"
"Naviculaceae_ASV_9847","Dino-Group-I-Clade-1_X_ASV_21077",0.617727780455742,0.312802151977157,0.304925628478584,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.617727780455742,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Naviculaceae_ASV_9847","Bacillariophyceae","Q1"
"Bacillariophyceae_ASV_6651","Dino-Group-I-Clade-1_X_ASV_21077",0.532378781922587,-0.0753630679947822,0.457015713927805,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.532378781922587,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Bacillariophyceae_ASV_6651","Bacillariophyceae","Q3"
"Navicula_ASV_10502","Dino-Group-I-Clade-1_X_ASV_21077",0.583515294095032,0.345208832007052,0.238306462087981,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.583515294095032,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Navicula_ASV_10502","Bacillariophyceae","Q1"
"Bacillariophyceae_ASV_9867","Dino-Group-I-Clade-1_X_ASV_21077",0.612238825987186,0.0201478534633333,0.592090972523852,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.612238825987186,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Bacillariophyceae_ASV_9867","Bacillariophyceae","Q1"
"Bacillariaceae_ASV_10168","Dino-Group-I-Clade-1_X_ASV_21077",0.556283747138941,0.201312259317239,0.354971487821702,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.556283747138941,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Bacillariaceae_ASV_10168","Bacillariophyceae","Q1"
"Mediophyceae_ASV_9615","Dino-Group-I-Clade-1_X_ASV_21077",0.515465351281253,-0.0178879435835908,0.497577407697662,"Q3",FALSE,"Mediophyceae","Syndiniales","positive",0.515465351281253,"Mediophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Mediophyceae_ASV_9615","Mediophyceae","Q3"
"Naviculaceae_ASV_9674","Dino-Group-I-Clade-1_X_ASV_21077",0.514588308307749,0.447367058493897,0.0672212498138514,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.514588308307749,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Naviculaceae_ASV_9674","Bacillariophyceae","Q1"
"Craticula_ASV_10145","Dino-Group-I-Clade-1_X_ASV_21077",0.56986611257476,-0.287700919081171,0.28216519349359,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.56986611257476,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Craticula_ASV_10145","Bacillariophyceae","Q3"
"Amphora_ASV_11507","Dino-Group-I-Clade-1_X_ASV_21077",0.544089244401649,0.0566687061760181,0.487420538225631,"Q1",FALSE,"Bacillariophyceae","Syndiniales","positive",0.544089244401649,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Amphora_ASV_11507","Bacillariophyceae","Q1"
"Cymbella_ASV_11535","Dino-Group-I-Clade-1_X_ASV_21077",0.589945072497653,-0.316349058743735,0.273596013753918,"Q3",FALSE,"Bacillariophyceae","Syndiniales","positive",0.589945072497653,"Bacillariophyceae","Syndiniales","Dino-Group-I-Clade-1_X_ASV_21077","Cymbella_ASV_11535","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_25271","Bacillariophyceae_ASV_10160",0.50714108633185,-0.0485419991342788,0.458599087197572,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.50714108633185,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Bacillariophyceae_ASV_10160","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_10160",0.532383421431933,0.0320090651750122,0.50037435625692,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.532383421431933,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Bacillariophyceae_ASV_10160","Bacillariophyceae","Q1"
"Dino-Group-I-Clade-1_X_ASV_25271","Fragilariaceae_ASV_10037",0.543663705190487,-0.335014420130601,0.208649285059885,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.543663705190487,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Fragilariaceae_ASV_10037","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Fragilariaceae_ASV_10037",0.705302995040993,0.180071395732008,0.525231599308985,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.705302995040993,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Fragilariaceae_ASV_10037","Bacillariophyceae","Q1"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Fragilariaceae_ASV_10037",0.666631963744163,-0.172159561256354,0.494472402487809,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.666631963744163,"Syndiniales","Bacillariophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Fragilariaceae_ASV_10037","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21077","Fragilariaceae_ASV_10037",0.616548844199952,-0.125470381153324,0.491078463046628,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.616548844199952,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21077","Fragilariaceae_ASV_10037","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_25271","Pleurosigma_ASV_10232",0.680053613663278,0.0804166308667451,0.599636982796533,"Q1",FALSE,"Syndiniales","Bacillariophyceae","positive",0.680053613663278,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25271","Pleurosigma_ASV_10232","Bacillariophyceae","Q1"
"Dino-Group-I-Clade-1_X_ASV_25263","Pleurosigma_ASV_10232",0.580329021625756,-0.0243376278254565,0.5559913938003,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.580329021625756,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_25263","Pleurosigma_ASV_10232","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21086","Pleurosigma_ASV_10232",0.674732890901462,-0.116386728476068,0.558346162425394,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.674732890901462,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21086","Pleurosigma_ASV_10232","Bacillariophyceae","Q3"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Pleurosigma_ASV_10232",0.6288997068085,-0.0973421631188998,0.5315575436896,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.6288997068085,"Syndiniales","Bacillariophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Pleurosigma_ASV_10232","Bacillariophyceae","Q3"
"Dino-Group-I-Clade-1_X_ASV_21077","Pleurosigma_ASV_10232",0.565081646289825,-0.415580269198853,0.149501377090972,"Q3",FALSE,"Syndiniales","Bacillariophyceae","positive",0.565081646289825,"Syndiniales","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21077","Pleurosigma_ASV_10232","Bacillariophyceae","Q3"
