"OTU_j","lowest_j","Cls_j","OTU_k","lowest_k","Cls_k","env_cor","res_cor","surprise","quadrant"
"Dino-Group-I-Clade-1_X_ASV_21086","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Bacillariophyceae_ASV_11568","Bacillariophyceae","Bacillariophyceae",0.096,0.697,0.602,"Q1"
"Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta","Halomonhystera_ASV_27080","Halomonhystera_disjuncta","Nematoda",0.049,-0.65,0.601,"Q2"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales","CCW10-lineage_X_ASV_13473","CCW10-lineage_X_sp.","Filosa-Thecofilosea",0.013,0.614,0.601,"Q1"
"Reckertia_ASV_15655","Reckertia_filosa","Filosa-Imbricatea","Chaetoceros_ASV_11054","Chaetoceros_socialis","Mediophyceae",0.03,0.63,0.6,"Q1"
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Pleurosigma_ASV_10232","Pleurosigma_sp.","Bacillariophyceae",0.08,0.68,0.6,"Q1"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales","Phaeophyceae_XX_ASV_8496","Phaeophyceae_XX (fam.)","Phaeophyceae",-0.005,0.603,0.598,"Q3"
"Navicula_ASV_10078","Navicula sp.","Bacillariophyceae","Pomatoceros_ASV_18128","Pomatoceros_triqueter","Annelida",-0.062,0.66,0.598,"Q3"
"Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae","Chaetoceros_ASV_11054","Chaetoceros_socialis","Mediophyceae",0.006,0.603,0.597,"Q1"
"Phaeophyceae_XX_ASV_8454","Phaeophyceae_XX (fam.)","Phaeophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",0.074,0.669,0.595,"Q1"
"Adineta_ASV_17598","Adineta_vaga","Rotifera","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",-0.043,-0.638,0.594,"Q4"
"Craticula_ASV_10145","Craticula_importuna","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_20879","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.105,0.697,0.592,"Q1"
"Labyrinthulaceae_ANT10_3_ASV_9457","Labyrinthulaceae_ANT10_3_sp.","Sagenista","CCW10-lineage_X_ASV_13473","CCW10-lineage_X_sp.","Filosa-Thecofilosea",0.019,0.611,0.592,"Q1"
"Bacillariophyceae_ASV_9867","Bacillariophyceae","Bacillariophyceae","Dino-Group-I-Clade-1_X_ASV_21077","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.02,0.612,0.592,"Q1"
"Halomonhystera_ASV_27080","Halomonhystera_disjuncta","Nematoda","Chaetoceros_ASV_11054","Chaetoceros_socialis","Mediophyceae",0.089,-0.68,0.592,"Q2"
"Navicula_ASV_10098","Navicula_tripunctata","Bacillariophyceae","Halomonhystera_ASV_27080","Halomonhystera_disjuncta","Nematoda",0.057,-0.646,0.589,"Q2"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales","Dino-Group-I-Clade-1_X_ASV_20879","Dino-Group-I-Clade-1_X_sp.","Syndiniales",0.097,0.686,0.589,"Q1"
"Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales","Bacillariophyceae_ASV_32933","Naviculales (ord.)","Bacillariophyceae",-0.028,0.616,0.588,"Q3"
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Nolandella_ASV_19262","Nolandella_sp.","Elardia",-0.042,0.63,0.588,"Q3"
"Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta","Dino-Group-I-Clade-1_X_ASV_20879","Dino-Group-I-Clade-1_X_sp.","Syndiniales",-0.083,0.668,0.586,"Q3"
"Mediophyceae_ASV_10516","Mediophyceae","Mediophyceae","Dino-Group-II-Clade-10-and-11_X_ASV_23376","Dino-Group-II-Clade-10-and-11_X_sp.","Syndiniales",0.124,0.708,0.584,"Q1"
"Dino-Group-I-Clade-1_X_ASV_25271","Dino-Group-I-Clade-1_X_sp.","Syndiniales","Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta",-0.017,0.6,0.583,"Q3"
"Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae","Euglyphida_XX_ASV_18003","Euglyphida_XX_sp.","Filosa-Imbricatea",-0.032,0.613,0.581,"Q3"
"Bacillariaceae_ASV_10168","Bacillariaceae (fam.)","Bacillariophyceae","Pseudoscourfieldiaceae_X_ASV_25684","Pseudoscourfieldiaceae_X_sp.","Pseudoscourfieldiophyceae",-0.068,0.647,0.579,"Q3"
"Navicula_ASV_10078","Navicula sp.","Bacillariophyceae","Lichomolgus_ASV_17960","Lichomolgus_marginatus","Arthropoda",-0.01,-0.589,0.579,"Q4"
"Leathesia_ASV_8462","Leathesia_difformis","Phaeophyceae","Halomonhystera_ASV_27080","Halomonhystera_disjuncta","Nematoda",-0.006,-0.585,0.579,"Q4"
"Adineta_ASV_17598","Adineta_vaga","Rotifera","Dino-Group-I-Clade-1_X_ASV_20879","Dino-Group-I-Clade-1_X_sp.","Syndiniales",-0.079,-0.657,0.578,"Q4"
"Mediophyceae_ASV_10516","Mediophyceae","Mediophyceae","Loxosomella_ASV_16675","Loxosomella_sp.","Entoprocta",0.15,0.728,0.578,"Q1"
